Timestamp,Email Address,Name,Name of the Institution,E-mail ID (other if any),Branch and Year,What is your current educational level?, Are you currently enrolled in a formal education program?,"If you answered ""No"" to the previous question, please specify the reason for dropping out or not enrolling.",What challenges do you face in your current educational journey? (Select all that apply),How do you believe personalized counseling could help you in your educational or career path?,Have you ever interacted with a chatbot for counseling or guidance purposes?,"If you have interacted with a chatbot for counseling, how effective was the experience?",What specific areas do you think a chatbot could assist you with in your educational or career journey? (Select all that apply),"On a scale of 1 to 5, how important is personalized support and guidance in your decision-making process regarding education and career choices?",Would you be interested in participating in a personalized counseling session with a chatbot tailored to your specific needs and goals?,How do you rate the level of career guidance and counseling available to you in your current educational institution?,What factors do you believe contribute most to student dropout rates in educational institutions? (Select all that apply),"In your opinion, what role can technology play in reducing dropout rates and improving student success?",How comfortable are you with seeking help or counseling when facing challenges in your educational journey?,What additional support or resources do you think educational institutions should provide to help students succeed and stay motivated?,Are you currently enrolled in a formal education program?
4/26/2024 14:31:10,user571@example.com,John Doe,Thapar Institute of Engineering and Technology,user583@other.com,COE-9,Postgraduate,,Financial difficulties,Financial difficulties,Academic pressure,No,Somewhat effective,Providing study tips and resources,2,Yes,Fair,Lack of academic support,Data analytics to identify at-risk students,Neutral,Mental health support services,Yes
4/25/2024 18:10:23,user567@example.com,Jane Smith,Thapar University,user661@other.com,3rd year ECE,Undergraduate,,Lack of interest in chosen field of study,Personal issues,Lack of interest in the subject,No,Very effective,Providing study tips and resources,1,Yes,Fair,Lack of interest in chosen field of study,Data analytics to identify at-risk students,Very comfortable,Financial assistance,No
4/20/2024 13:23:43,user924@example.com,Alice Johnson,Thapar Institute of Engineering and Technology,user112@other.com,3rd year ECE,Undergraduate,,Lack of interest in chosen field of study,Financial difficulties,Academic pressure,Yes,Very effective,Helping with time management,3,No,Excellent,Personal or family issues,Personalized learning platforms,Very comfortable,Financial assistance,Yes
4/24/2024 12:29:33,user640@example.com,Alice Johnson,Thapar University,user752@other.com,ENC,Postgraduate,,Financial difficulties,Lack of interest in the subject,Lack of interest in the subject,Yes,Very effective,Helping with time management,3,No,Poor,Lack of interest in chosen field of study,Chatbots for counseling,Very comfortable,Mental health support services,Yes
4/27/2024 22:31:11,user992@example.com,Emily Davis,Thapar University,user931@other.com,Computer Engineering 2024,Undergraduate,,Financial difficulties,Lack of interest in the subject,Financial difficulties,Yes,Not effective,Helping with time management,1,No,Excellent,Lack of interest in chosen field of study,Personalized learning platforms,Very comfortable,Mentorship programs,Yes
4/24/2024 15:53:17,user387@example.com,Jane Smith,Thapar Institute of Engineering and Technology,user141@other.com,3rd year ECE,Postgraduate,,Financial difficulties,Financial difficulties,Personal issues,No,Not effective,Offering emotional support,5,No,Fair,Lack of interest in chosen field of study,Chatbots for counseling,Neutral,Mentorship programs,No
4/23/2024 20:34:14,user539@example.com,John Doe,Thapar Institute of Engineering and Technology,user152@other.com,ENC,Undergraduate,,Financial difficulties,Academic pressure,Lack of interest in the subject,No,Not effective,Offering emotional support,5,Yes,Fair,Lack of interest in chosen field of study,Data analytics to identify at-risk students,Neutral,Financial assistance,No
4/27/2024 12:16:56,user574@example.com,Emily Davis,Tiet,user229@other.com,COE-9,Postgraduate,,Financial difficulties,Financial difficulties,Lack of interest in the subject,Yes,Very effective,Helping with time management,2,Yes,Excellent,Lack of academic support,Personalized learning platforms,Neutral,Career counseling,No
4/30/2024 19:10:14,user670@example.com,John Doe,Tiet,user513@other.com,3rd year ECE,Postgraduate,,Lack of interest in chosen field of study,Financial difficulties,Personal issues,Yes,Not effective,Helping with time management,4,No,Excellent,Lack of interest in chosen field of study,Data analytics to identify at-risk students,Very comfortable,Career counseling,No
4/22/2024 20:28:17,user947@example.com,Alice Johnson,Tiet,user811@other.com,3rd year ECE,Postgraduate,,Financial difficulties,Financial difficulties,Personal issues,No,Very effective,Providing study tips and resources,2,Yes,Excellent,Lack of interest in chosen field of study,Chatbots for counseling,Very comfortable,Career counseling,No
4/27/2024 21:11:30,user355@example.com,John Doe,Tiet,user406@other.com,ENC,Undergraduate,,Financial difficulties,Financial difficulties,Academic pressure,Yes,Not effective,Providing study tips and resources,5,No,Excellent,Lack of interest in chosen field of study,Chatbots for counseling,Neutral,Financial assistance,No
4/27/2024 14:11:19,user527@example.com,Emily Davis,Tiet,user295@other.com,ENC,Undergraduate,,Lack of interest in chosen field of study,Academic pressure,Academic pressure,No,Somewhat effective,Providing study tips and resources,2,No,Fair,Lack of academic support,Personalized learning platforms,Neutral,Career counseling,No
4/23/2024 11:52:40,user873@example.com,John Doe,Thapar Institute of Engineering and Technology,user152@other.com,3rd year ECE,Undergraduate,,Dissatisfaction with the curriculum,Lack of interest in the subject,Personal issues,Yes,Very effective,Helping with time management,4,Yes,Excellent,Lack of interest in chosen field of study,Personalized learning platforms,Neutral,Mental health support services,No
4/23/2024 18:40:12,user470@example.com,John Doe,Thapar Institute of Engineering and Technology,user780@other.com,Computer Engineering 2024,Undergraduate,,Dissatisfaction with the curriculum,Financial difficulties,Personal issues,Yes,Somewhat effective,Providing study tips and resources,5,No,Fair,Personal or family issues,Data analytics to identify at-risk students,Neutral,Mental health support services,No
4/23/2024 21:12:50,user571@example.com,John Doe,Tiet,user650@other.com,Computer Engineering 2024,Undergraduate,,Dissatisfaction with the curriculum,Lack of interest in the subject,Lack of interest in the subject,Yes,Not effective,Helping with time management,4,No,Poor,Lack of academic support,Data analytics to identify at-risk students,Very comfortable,Financial assistance,No
4/30/2024 10:49:18,user986@example.com,Mark Brown,Tiet,user251@other.com,COE-9,Postgraduate,,Dissatisfaction with the curriculum,Academic pressure,Academic pressure,Yes,Very effective,Helping with time management,5,No,Poor,Lack of academic support,Chatbots for counseling,Very comfortable,Career counseling,Yes
4/27/2024 14:30:30,user799@example.com,John Doe,Thapar University,user699@other.com,ENC,Postgraduate,,Dissatisfaction with the curriculum,Personal issues,Personal issues,No,Not effective,Offering emotional support,1,No,Excellent,Lack of academic support,Personalized learning platforms,Very comfortable,Career counseling,No
4/26/2024 11:13:30,user459@example.com,Emily Davis,Thapar Institute of Engineering and Technology,user776@other.com,ENC,Postgraduate,,Lack of interest in chosen field of study,Academic pressure,Lack of interest in the subject,Yes,Somewhat effective,Offering emotional support,1,No,Excellent,Lack of interest in chosen field of study,Personalized learning platforms,Very comfortable,Financial assistance,Yes
4/22/2024 12:21:43,user408@example.com,Alice Johnson,Tiet,user101@other.com,COE-9,Undergraduate,,Lack of interest in chosen field of study,Financial difficulties,Personal issues,Yes,Very effective,Helping with time management,2,No,Fair,Lack of academic support,Chatbots for counseling,Very comfortable,Mentorship programs,No
4/21/2024 16:18:39,user277@example.com,John Doe,Thapar Institute of Engineering and Technology,user552@other.com,Computer Engineering 2024,Undergraduate,,Financial difficulties,Academic pressure,Lack of interest in the subject,No,Somewhat effective,Offering emotional support,2,No,Fair,Lack of academic support,Chatbots for counseling,Very comfortable,Mentorship programs,Yes
4/25/2024 14:15:12,user346@example.com,Alice Johnson,Thapar Institute of Engineering and Technology,user223@other.com,3rd year ECE,Postgraduate,,Dissatisfaction with the curriculum,Academic pressure,Academic pressure,Yes,Somewhat effective,Offering emotional support,3,No,Excellent,Lack of interest in chosen field of study,Chatbots for counseling,Neutral,Mental health support services,Yes
